transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price
0x16711a1cd216885b468235d5d5bc06c6883c6bfbd3a886bbeb753c79f75129a7,2,0xe3d2ac2858bdd56adb84f4d6a30303f65c6cb61deb48efa6d994d519ae6b1363,5657,462429,87424,,,0,20000000000
0x1df3b321e13935dd1b9fcda56e2f8e58bd269b4f0cc8739b409ed38d657d6969,3,0xe3d2ac2858bdd56adb84f4d6a30303f65c6cb61deb48efa6d994d519ae6b1363,5657,506425,43996,,,0,20000000000
0x8e2acdf12bae4b3fff59a124fb1a1092091aef07eddbbb42e16217f764ef4c3b,4,0xe3d2ac2858bdd56adb84f4d6a30303f65c6cb61deb48efa6d994d519ae6b1363,5657,507941,1516,,,1,0
0x51467224d4b21e10d7baf8af67ad436e2625074803a616db269314ca42f8c5a5,5,0xe3d2ac2858bdd56adb84f4d6a30303f65c6cb61deb48efa6d994d519ae6b1363,5657,540091,32150,,,1,0
0xc063bbe1dce692ea7839f07cc211771741406f875ca8442b4ef30e79612e8114,0,0x74cabaa7b905ced98938392e96aee407abec4ec6a0835cccf535ccc4eca405fc,5669,228524,228524,,,1,20000000000
0x1dd1d00ea2a2fdf3abb4bf2cf2583b5ab18a19cd60bd05f67c0e7e0b521d281b,1,0x74cabaa7b905ced98938392e96aee407abec4ec6a0835cccf535ccc4eca405fc,5669,374251,145727,,,1,20000000000
0x649431ef1989333de71826d6d6552e8a148abec0783ed48e348bf56140afeb1c,2,0x74cabaa7b905ced98938392e96aee407abec4ec6a0835cccf535ccc4eca405fc,5669,461055,86804,,,0,20000000000
0x28ad407ded7cd62b08358703a7f052547c1b5eb73c25707e60dc00368a9f56df,3,0x74cabaa7b905ced98938392e96aee407abec4ec6a0835cccf535ccc4eca405fc,5669,505051,43996,,,0,20000000000
0x18c91f1517d7f0d6f9f100c350ca48b6ba49773bc535f63c463b5434bf6bdd8e,4,0x74cabaa7b905ced98938392e96aee407abec4ec6a0835cccf535ccc4eca405fc,5669,506567,1516,,,1,0
0x5e6984ebefd7f166479a021c71c4c95e86047b346cff440a98fb8660087ce305,5,0x74cabaa7b905ced98938392e96aee407abec4ec6a0835cccf535ccc4eca405fc,5669,523717,17150,,,1,0
